"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0001568","GO:0001568","blood vessel development",402,0.448468882220481,1.70249275471782,2.20809079323745e-06,0.000400598625834655,0.000364737264631935,1328,"tags=34%, list=16%, signal=30%","LRP2/F3/FGF9/HMGA2/GJA5/ABCC8/FGF10/STAB2/FOXC2/COMP/CDH13/SERPINE1/NTRK2/FGF1/PRKCB/IL1A/EDN1/ACTA2/MYLK/SULF1/CCBE1/CALD1/ITGA5/COL4A3/HDAC9/CAV1/FLNA/CREB3L1/COL8A1/CDH2/SLIT2/ATP2B4/SEMA3E/ANTXR1/CARD10/PIK3CD/THSD7A/FGF2/FOXF1/COL4A2/FN1/JAG1/ZFPM2/COL5A1/COL4A1/AMOTL2/IL1B/COL15A1/WNT5A/ECM1/NRP2/THBS2/ARHGAP24/GJA1/HEG1/ENPEP/TGFB1/LOXL2/PRKD1/PRKX/DLL4/FOXC1/HSPG2/UNC5B/ETS1/ACVRL1/PTK2B/PTPRB/FAP/BMP7/CD34/SRPX2/SPHK1/SFRP2/COL18A1/DYNC2H1/FLT4/ALOX5/CRKL/ANXA3/COL1A2/FKBP10/ITGB8/TGFBR2/JAM3/ITGAV/ADAMTS1/GPLD1/HYAL1/MEF2C/PTGIS/ROBO2/PRKCA/PDGFRB/SPARC/ARHGAP22/ELK3/BMPR2/GLI3/MMP14/CXCR4/EMILIN1/YAP1/TNFAIP3/VAV2/PLXDC1/PLCG1/SPINK5/LAMA1/MYH9/CD40/MMP2/FMNL3/PKD2/MYO1E/PKD1/THBS1/STARD13/AMOTL1/IL6R/TGFBR1/AMOT/CDH5/SEMA5A/SPRED1/GAB1/RIN2/PLCD3/MCAM/RUNX1/PIK3CA/ANXA1/EFEMP2/ADAM12/RAPGEF2"
"GO:0048644","GO:0048644","muscle organ morphogenesis",36,0.791831864896422,2.19466363607655,2.6930806916826e-06,0.000470491171209883,0.000428373069086356,825,"tags=56%, list=10%, signal=50%","TTN/ACTC1/LRP2/COL11A1/FOXC2/MYLK/PKP2/ADARB1/TPM1/ZFPM2/WNT5A/HEG1/DSP/TGFB1/DLL4/FOXC1/LIF/RYR2/LY6E/BMP2"
"GO:0055008","GO:0055008","cardiac muscle tissue morphogenesis",29,0.811188065515811,2.15304179390564,2.90359408290172e-06,0.000489151903180265,0.000445363302941316,825,"tags=59%, list=10%, signal=53%","TTN/ACTC1/LRP2/COL11A1/FOXC2/PKP2/TPM1/ZFPM2/WNT5A/HEG1/DSP/TGFB1/DLL4/FOXC1/RYR2/LY6E/BMP2"
"GO:0030001","GO:0030001","metal ion transport",413,0.43976941410998,1.67901843298343,4.5424508971172e-06,0.000738853133851788,0.000672711421424253,823,"tags=23%, list=10%, signal=22%","CACNA1S/CACNA1A/CACNA2D2/ATP12A/FGF14/SLC34A2/LRP2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/CAMK2A/JPH2/CASQ2/GRIN2A/GJA5/CAMK2B/SLC6A14/CCR7/DPP10/ABCC8/CACNA2D3/CNTN1/CD19/FHL1/KCNMB1/SLC4A10/DMD/CACNA1F/CACNA1B/AKAP6/KCND3/PRKCB/SLC4A11/RYR3/CACNB2/KCNQ5/EDN1/MYLK/HEPH/PKP2/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/TCN1/ABCC5/FGF13/IL16/KCNC4/FCRL3/KCNJ15/FGF2/TPCN2/TRPC1/ATG5/RASA3/SLC5A12/CCL19/CACNA1C/SHROOM2/SLC6A2/SCN7A/SLC10A6/ATP1B2/KCNMA1/GPD1L/KCNE4/PRKD1/SLC39A14/CORO1A/SLC6A11/PTK2B/KCNN3/KCNJ2/ATP7B/ANK2/SLC5A4/ATP2A3/SLC39A13/F2R/FYN/RYR2/WNK2/CNNM2/KCNS3/PRNP/ATP2A1/SLC6A1/CDH23/ANXA6/ITGAV"
"GO:0055002","GO:0055002","striated muscle cell development",35,0.765952074787844,2.10966743199636,5.84582369635241e-06,0.000889508076635301,0.000809879819392796,820,"tags=49%, list=10%, signal=44%","TTN/ACTC1/NEB/MYH11/FLNC/OBSCN/LMOD1/MYH3/EDN1/MYL9/CSRP1/TPM1/FHOD3/OBSL1/PLEC/AKAP13/CFL2"
"GO:0042692","GO:0042692","muscle cell differentiation",183,0.535170294072097,1.87137821211317,5.80715727280533e-06,0.000889508076635301,0.000809879819392796,1341,"tags=36%, list=16%, signal=30%","TTN/ACTC1/NEB/FGF9/MYH11/SPEG/FLNC/OBSCN/FGF10/LMOD1/MYH3/COMP/DMD/RBPMS2/AKAP6/EDN1/MYL9/HDAC9/ITGA8/FRS2/NPNT/CACNA1H/CDH2/CSRP1/ZEB1/TPM1/BARX2/FOXF1/FHOD3/ATG5/ACTN1/SYNE1/PDLIM5/TGFB1/TANC1/ANK2/IGF2/OBSL1/CNTNAP1/PLEC/AKAP13/PLEKHO1/CFL2/BMP2/CHRNB1/MEF2C/DYSF/SGCB/PDGFRB/BMPR2/MMP14/SKI/CAPN2/MYH9/CAPN3/CDK9/CD9/MEF2A/HOPX/FLII/RB1/EHD2/EFEMP2/ADAM12/JAM2"
"GO:0001944","GO:0001944","vasculature development",422,0.442338335989614,1.68915137452488,6.81685730722663e-06,0.00100484737244338,0.000914894007022521,1328,"tags=33%, list=16%, signal=29%","LRP2/F3/FGF9/HMGA2/GJA5/ABCC8/FGF10/STAB2/FOXC2/COMP/CDH13/SERPINE1/NTRK2/FGF1/PRKCB/IL1A/EDN1/ACTA2/MYLK/SULF1/CCBE1/CALD1/ITGA5/COL4A3/HDAC9/CAV1/FLNA/CREB3L1/COL8A1/CDH2/SLIT2/ATP2B4/SEMA3E/ANTXR1/CARD10/PIK3CD/THSD7A/FGF2/FOXF1/COL4A2/FN1/JAG1/ZFPM2/COL5A1/COL4A1/AMOTL2/IL1B/COL15A1/WNT5A/ECM1/NRP2/THBS2/ARHGAP24/GJA1/HEG1/ENPEP/TGFB1/LOXL2/PRKD1/PRKX/DLL4/FOXC1/HSPG2/UNC5B/ETS1/ACVRL1/PTK2B/PTPRB/FAP/BMP7/CD34/SRPX2/SPHK1/SFRP2/COL18A1/DYNC2H1/FLT4/ALOX5/CRKL/LIF/ANXA3/COL1A2/FKBP10/ITGB8/TGFBR2/JAM3/ITGAV/ADAMTS1/GPLD1/HYAL1/SVEP1/MEF2C/PTGIS/ROBO2/SGCB/PRKCA/PDGFRB/SPARC/ARHGAP22/ELK3/BMPR2/GLI3/MMP14/CXCR4/EMILIN1/YAP1/TNFAIP3/VAV2/PLXDC1/PLCG1/SPINK5/LAMA1/MYH9/CD40/MMP2/FMNL3/PKD2/MYO1E/PKD1/THBS1/STARD13/AMOTL1/IL6R/TGFBR1/AMOT/CDH5/SEMA5A/SPRED1/GAB1/RIN2/PLCD3/MCAM/RUNX1/PIK3CA/ANXA1/EFEMP2/ADAM12/RAPGEF2"
"GO:0048514","GO:0048514","blood vessel morphogenesis",360,0.451931763286145,1.70609453284372,7.17762784556923e-06,0.00102596577416818,0.000934121901432933,1328,"tags=34%, list=16%, signal=30%","LRP2/F3/FGF9/HMGA2/GJA5/ABCC8/FGF10/STAB2/FOXC2/COMP/CDH13/SERPINE1/NTRK2/FGF1/PRKCB/IL1A/EDN1/MYLK/SULF1/CCBE1/CALD1/ITGA5/COL4A3/HDAC9/CAV1/FLNA/CREB3L1/COL8A1/CDH2/SLIT2/ATP2B4/SEMA3E/CARD10/PIK3CD/THSD7A/FGF2/FOXF1/COL4A2/FN1/JAG1/ZFPM2/COL4A1/AMOTL2/IL1B/COL15A1/WNT5A/ECM1/NRP2/THBS2/ARHGAP24/GJA1/HEG1/ENPEP/TGFB1/LOXL2/PRKD1/PRKX/DLL4/FOXC1/HSPG2/UNC5B/ETS1/ACVRL1/PTK2B/PTPRB/FAP/CD34/SRPX2/SPHK1/SFRP2/COL18A1/FLT4/ALOX5/ANXA3/FKBP10/ITGB8/TGFBR2/JAM3/ITGAV/ADAMTS1/GPLD1/HYAL1/PTGIS/PRKCA/PDGFRB/SPARC/ARHGAP22/ELK3/BMPR2/MMP14/CXCR4/EMILIN1/YAP1/TNFAIP3/VAV2/PLXDC1/PLCG1/SPINK5/LAMA1/MYH9/CD40/MMP2/FMNL3/PKD2/MYO1E/THBS1/STARD13/AMOTL1/TGFBR1/AMOT/CDH5/SEMA5A/SPRED1/GAB1/RIN2/PLCD3/MCAM/RUNX1/PIK3CA/ANXA1/EFEMP2/ADAM12/RAPGEF2"
"GO:0006816","GO:0006816","calcium ion transport",194,0.523824249543029,1.85012023269179,7.96964195266653e-06,0.00110567062031553,0.00100669161507367,823,"tags=25%, list=10%, signal=23%","CACNA1S/CACNA1A/CACNA2D2/CCL21/ATP1A2/MS4A1/CAMK2A/JPH2/CASQ2/GRIN2A/CAMK2B/CCR7/CACNA2D3/CD19/DMD/CACNA1F/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/EDN1/MYLK/CAV1/CACNA1H/ATP2B4/IL16/FCRL3/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/ATP2A3/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV"
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration",137,0.565019781590306,1.90822032384484,8.90408403419888e-06,0.00112621541682434,0.00102539725308087,1144,"tags=35%, list=14%, signal=31%","CACNA1S/CACNA1A/SAA1/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/FYN/RYR2/PRNP/ITGAV/F2RL1/SWAP70/CACNA1D/JAK3/CXCR4/PLCG1/PTPRC/CAPN3/PKD2/PKD1"
"GO:0007160","GO:0007160","cell-matrix adhesion",151,0.550800094011191,1.88440604963059,8.89387882270078e-06,0.00112621541682434,0.00102539725308087,1264,"tags=38%, list=15%, signal=33%","CCL21/MUC4/CCR7/SORBS1/CDH13/SERPINE1/BCAM/FGG/FGA/ITGA11/ITGA5/ITGA8/NPNT/SEMA3E/LYVE1/EPHA3/ITGA6/AJUBA/ITGA9/FN1/JAG1/ACTN1/PHLDB2/FGB/ITGA2/ITGA3/ITGA1/ACVRL1/PTK2B/COL16A1/MAP4K4/FERMT2/CD34/PPFIA1/ITGA7/FBLN5/PLEKHA2/ITGBL1/ADAM9/ILK/JAM3/ITGAV/VCL/COL17A1/ACER2/ITGB4/MMP14/CTTN/EMILIN1/BCR/ITGA4/NID1/PKD1/THBS1/DMTN/TNXB/RIN2"
"GO:0055074","GO:0055074","calcium ion homeostasis",206,0.521352314741623,1.85224444636447,9.07275510691649e-06,0.00112621541682434,0.00102539725308087,831,"tags=24%, list=10%, signal=22%","CACNA1S/CACNA1A/SAA1/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/PRKD1/CCL14/CORO1A/PTK2B/ATP7B/ANK2/ATP2A3/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0034329","GO:0034329","cell junction assembly",220,0.51499368031107,1.84409063148413,8.63787722895038e-06,0.00112621541682434,0.00102539725308087,1262,"tags=32%, list=15%, signal=28%","DSG1/IGFN1/GJA5/CDH19/NTRK3/SORBS1/CDH6/ACHE/GAP43/NTRK2/PKP1/PCDHB11/LRRN1/PKP2/ITGA5/CAV1/CDH2/FGF13/EPHA3/ITGA6/AJUBA/FN1/MAP1B/IL1B/ACTN1/WNT5A/DST/PHLDB2/THBS2/SHANK3/PCDHB16/PDLIM5/GJA1/HEG1/ITGA2/ACVRL1/PTK2B/COL16A1/MAP4K4/FERMT2/SRPX2/PCDHB10/LAMC1/ANK2/OBSL1/CRKL/CNTNAP1/TLN2/IL1RAP/PLEC/ARVCF/JAM3/VCL/COL17A1/MEF2C/SHANK2/ROBO2/PRKCA/TLN1/ITGB4/MMP14/CTTN/BCR/DCHS1/THBS1/CD9/CDH5/DMTN/GRHL2/NLGN2/FLCN"
"GO:0035239","GO:0035239","tube morphogenesis",500,0.414571966875838,1.6045040344518,1.52065451697501e-05,0.00183921214271055,0.00167456691747856,1381,"tags=32%, list=17%, signal=28%","LRP2/LGR5/RET/F3/FGF9/HMGA2/GJA5/ABCC8/FGF10/STAB2/FOXC2/COMP/CDH13/RBPMS2/SERPINE1/NTRK2/FGF1/PRKCB/IL1A/EGFR/EDN1/MYLK/SULF1/CCBE1/CALD1/GLI2/ITGA5/COL4A3/HDAC9/CAV1/FLNA/CREB3L1/NPNT/COL8A1/CDH2/SLIT2/ATP2B4/ZEB1/SIX2/SEMA3E/CARD10/PIK3CD/CELSR1/THSD7A/FGF2/FOXF1/COL4A2/FN1/JAG1/KIF26B/ZFPM2/COL4A1/TGM2/AMOTL2/IL1B/COL15A1/WNT5A/ECM1/MICAL2/NRP2/THBS2/ARHGAP24/DACT1/GJA1/HEG1/ENPEP/TGFB1/LOXL2/PRKD1/PRKX/DLL4/FOXC1/HSPG2/UNC5B/ETS1/ACVRL1/TP63/PTK2B/PTPRB/FAP/BMP7/CD34/SRPX2/SPHK1/SFRP2/COL18A1/FLT4/ALOX5/LAMA5/RYR2/ANXA3/FKBP10/ITGB8/ILK/TGFBR2/EPHA4/JAM3/ITGAV/BMP2/ADAMTS1/GREB1L/FZD3/GPLD1/HYAL1/MEF2C/PTGIS/VASP/PRKCA/PDGFRB/SPARC/ARHGAP22/ELK3/BMPR2/GLI3/MMP14/SKI/CXCR4/EMILIN1/YAP1/TNFAIP3/VAV2/PLXDC1/DCHS1/PLCG1/SPINK5/LAMA1/MYH9/CD40/MMP2/FMNL3/PKD2/MYO1E/PKD1/THBS1/STARD13/AMOTL1/TGFBR1/AMOT/CTHRC1/CDH5/SEMA5A/PRKACB/GRHL2/SPRED1/GAB1/RIN2/PLCD3/MCAM/RUNX1/PIK3CA/ANXA1/EFEMP2/ADAM12/RAPGEF2/IFT57/PODXL/STAB1/FZD6/HTATIP2"
"GO:0070588","GO:0070588","calcium ion transmembrane transport",142,0.557680938164521,1.89113337564053,1.59211017648791e-05,0.00187749592562337,0.00170942355791334,823,"tags=27%, list=10%, signal=25%","CACNA1S/CACNA1A/CACNA2D2/CCL21/ATP1A2/JPH2/CASQ2/GRIN2A/CCR7/CACNA2D3/CD19/DMD/CACNA1F/CACNA1B/AKAP6/RYR3/CACNB2/EDN1/CACNA1H/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/ATP2A3/F2R/FYN/RYR2/PRNP/ATP2A1/ANXA6/ITGAV"
"GO:0031589","GO:0031589","cell-substrate adhesion",224,0.494000247353936,1.7717216406124,1.90427148911384e-05,0.00219084112540243,0.00199471827357752,1311,"tags=36%, list=16%, signal=31%","CCL21/MUC4/CCR7/SORBS1/CDH13/SERPINE1/BCAM/FGG/FGA/ATRNL1/LAMC3/ITGA11/ITGA5/ITGA8/FLNA/NPNT/COL8A1/SEMA3E/MYADM/ANTXR1/LYVE1/EPHA3/ITGA6/AJUBA/FOXF1/ITGA9/DOCK5/FN1/JAG1/AXL/ACTN1/PHLDB2/ATP1B2/FGB/PRKX/ITGA2/ITGA3/LAMB2/CORO1A/ITGA1/ACVRL1/PTK2B/COL16A1/DOCK1/MAP4K4/FERMT2/CD34/LAMC1/PPFIA1/ITGA7/CRKL/LAMA5/FBLN5/PLEKHA2/ITGBL1/ABI3BP/FER/ADAM9/ILK/JAM3/ITGAV/VCL/COL17A1/LAMB3/ACER2/ITGB4/MMP14/CTTN/EMILIN1/BCR/ITGA4/NID1/PKD1/THBS1/LAMB1/DMTN/TNXB/RIN2/NEDD9/EFEMP2"
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis",224,0.49248785383946,1.76629747264271,2.15171354327318e-05,0.00241657923419514,0.00220024843522671,831,"tags=24%, list=10%, signal=22%","CACNA1S/CACNA1A/SAA1/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/ATP7B/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0072507","GO:0072507","divalent inorganic cation homeostasis",231,0.490648946871523,1.76410274545462,2.42159011626581e-05,0.00265642804149438,0.00241862611367552,831,"tags=23%, list=10%, signal=22%","CACNA1S/CACNA1A/SAA1/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/GIPR/EDN1/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/ATP7B/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/CNNM2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0030239","GO:0030239","myofibril assembly",34,0.767600898071712,2.10455569641043,2.50008148733787e-05,0.0026802009944938,0.00244027092543984,820,"tags=50%, list=10%, signal=45%","TTN/ACTC1/NEB/MYH11/FLNC/OBSCN/LMOD1/MYH3/EDN1/MYL9/CSRP1/TPM1/FHOD3/OBSL1/PLEC/AKAP13/CFL2"
"GO:0007423","GO:0007423","sensory organ development",257,0.470774704068608,1.72324234682699,3.13682769868674e-05,0.00328809250104564,0.00299374432997472,1245,"tags=28%, list=15%, signal=25%","LGR5/IGFN1/RET/FGF9/COL11A1/NTRK3/FGF10/FOXC2/ACHE/ATP8A2/NTRK2/SOBP/INHBA/EGFR/CRYAB/EDN1/LAMC3/ITGA8/FRS2/COL8A1/ATP2B4/CDKN1C/ZEB1/SIX2/CYP1A1/FBN2/FGF2/JAG1/ATG5/COL5A1/COL4A1/WNT5A/LRIG1/CACNA1C/SHROOM2/GJA1/DLL4/FOXC1/LAMB2/NHS/ALDH1A3/ACVRL1/FJX1/BMP7/OBSL1/MAF/FRZB/TGFBR2/EPHA4/CDH23/BMP2/FZD3/COL5A2/PDGFRB/FZR1/BMPR2/JAG2/GLI3/SKI/MITF/HPN/BCR/DCHS1/ABCB5/LAMA1/LRP10/TGFBR1/CTHRC1/SKIL/WDR19/SLC26A5/GRHL2/SPRED1"
"GO:0031032","GO:0031032","actomyosin structure organization",126,0.544188994917269,1.82671775144656,3.25566037606262e-05,0.00333846738997552,0.00303960968749096,844,"tags=22%, list=10%, signal=20%","TTN/ACTC1/NEB/CNN1/MYH11/FLNC/OBSCN/SORBS1/LMOD1/MYH3/EDN1/MYL9/CSRP1/TPM1/FHOD3/FRMD6/ARHGEF10/PHLDB2/PTK2B/FERMT2/PPFIA1/BAG4/OBSL1/PLEC/AKAP13/CFL2/PDLIM1/ELN"
"GO:0050878","GO:0050878","regulation of body fluid levels",201,0.497105890473286,1.76080238652473,3.52268803979723e-05,0.00353542967738799,0.00321894002292782,849,"tags=24%, list=10%, signal=22%","FLG/SLC4A1/SAA1/FLG2/HBB/F3/CCND1/GJA5/BLK/SERPINA1/FGF10/COMP/SERPINE1/FGG/FGA/EDN1/PRLR/MYL9/CAV1/FLNA/PRKG1/ABCA12/CSRP1/MMRN1/FN1/AKR1B1/AXL/AQP3/ATG5/DGKH/F8/THBD/DGKA/GJA1/FGB/HEG1/ITGA2/TP63/CELSR2/FAP/CD34/ATP7B/GUCA1B/STXBP1/F2R/PLEC/ILK/F2RL1/VCL"
"GO:0051592","GO:0051592","response to calcium ion",77,0.636281019879166,2.01294348797603,3.68390711214913e-05,0.00362020621833489,0.00329612741613343,1221,"tags=35%, list=15%, signal=30%","TTN/CCND1/CASQ2/KCNMB1/FGG/RYR3/FGA/GIPR/EDN1/CAV1/TRPC1/AQP3/WNT5A/RASA4/FGB/KCNMA1/PTK2B/RYR2/ADAM9/SLC6A1/GPLD1/MEF2C/CAPN3/PKD2/THBS1/MEF2A/DMTN"
"GO:0007507","GO:0007507","heart development",313,0.444786332851764,1.6590010986782,3.89561268030813e-05,0.00375012347204356,0.00341441455116158,1254,"tags=29%, list=15%, signal=25%","TTN/ACTC1/LRP2/NEB/FGF9/JPH2/MYH11/COL11A1/GJA5/NTRK3/PDLIM3/FOXC2/AKAP6/IL1A/EGFR/EDN1/PKP2/GLI2/HDAC9/FLNA/FRS2/SLIT2/TPM1/FGF2/FOXF1/FN1/JAG1/FHOD3/ZFPM2/ATG5/COL5A1/WNT5A/MICAL2/CACNA1C/NRP2/PDLIM5/GJA1/HEG1/DSP/TGFB1/DLL4/FOXC1/ITGA3/ACVRL1/BMP7/SFRP2/ANK2/DUSP6/DYNC2H1/OBSL1/CRKL/RYR2/LY6E/PLEC/ILK/AKAP13/TGFBR2/BMP2/INSR/DNAH5/ADAMTS1/PDLIM1/GREB1L/ELN/MEF2C/TENM4/ROBO2/SGCB/ATM/PDGFRB/ASXL1/RPS6KA2/BMPR2/GLI3/EMILIN1/YAP1/DCHS1/ACACB/KDM6A/MMP2/BASP1/PKD2/PKD1/TGFBR1/MEF2A/HOPX/SMAD5/GRHL2/SPRED1/RB1"
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus",155,0.529045322771948,1.8223320366018,4.10004007285556e-05,0.00386797780473194,0.00352171863100014,1290,"tags=34%, list=16%, signal=29%","LRP2/FGF9/FGF10/FST/RBPMS2/FGF1/PEG10/PRKCB/FSTL3/LTBP4/SULF1/CCBE1/ITGA5/CAV1/ITGA8/CREB3L1/NPNT/SLIT2/ATP2B4/CDKN1C/ZEB1/FBN2/FGF2/DKK3/IL1B/SFRP4/WNT5A/LATS2/FGFR1/TGFB1/ASPN/PMEPA1/ITGA3/ACVRL1/SFRP2/HTRA1/ILK/BMP2/ZDHHC17/FSTL1/CRIM1/BMPR2/SKI/EMILIN1/GPC1/LRIT3/THBS1/SKIL/CDH5/SPRED1/FLCN/PPP2R5B"
"GO:0098655","GO:0098655","cation transmembrane transport",410,0.42182945032356,1.60609648484166,4.5487568090545e-05,0.0042071540918255,0.0038305320497301,823,"tags=20%, list=10%, signal=19%","CACNA1S/CACNA1A/CACNA2D2/ATP12A/FGF14/SLC34A2/CCL21/SLC12A1/ATP1A2/SLC12A3/JPH2/CASQ2/GRIN2A/SLC6A14/CCR7/DPP10/ABCC8/CACNA2D3/CD19/FHL1/KCNMB1/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/ANO1/AKAP6/KCND3/SLC4A11/RYR3/CACNB2/KCNQ5/EDN1/ATP6V1C2/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/TCN1/ABCC5/FGF13/KCNC4/KCNJ15/FGF2/SLC15A2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/SHROOM2/SLC6A2/SHANK3/SCN7A/ATP1B2/KCNMA1/GPD1L/KCNE4/PRKD1/SLC39A14/CORO1A/SLC6A11/PTK2B/KCNN3/KCNJ2/ATP7B/CLCN5/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/WNK2/CNNM2/KCNS3/PRNP/ATP2A1/SLC6A1/ANXA6/ITGAV"
"GO:0019725","GO:0019725","cellular homeostasis",450,0.411666897158165,1.58096094100305,4.99926736652579e-05,0.00453491233998118,0.00412894956587555,954,"tags=19%, list=12%, signal=18%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/SLC34A2/CALB2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/IRS2/ABCC8/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/ANO1/AKAP6/PRKCB/SLC4A11/RYR3/CACNB2/IL1A/GIPR/EDN1/HEPH/CAV1/ATP2B4/ABCA12/MAP1A/FGF2/LRRC8A/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/TXNRD1/CCL19/CACNA1C/SLC6A2/SHANK3/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/GCLM/PTK2B/KCNJ2/GCLC/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/CFL2/ITGAV/F2RL1/SLC4A3/GPLD1/SWAP70/MT1X/CACNA1D/ICAM1/LRRK2/JAK3"
"GO:0034762","GO:0034762","regulation of transmembrane transport",260,0.461195163741146,1.69121028600738,5.32057233986984e-05,0.00473530938248416,0.00431140717908023,798,"tags=23%, list=10%, signal=21%","CACNA1S/CACNA1A/CACNA2D2/FGF14/ATP1A2/JPH2/CASQ2/IRS2/DPP10/ABCC8/SORBS1/CACNA2D3/CD19/FHL1/KCNMB1/DMD/CACNA1F/CACNA1B/AKAP6/KCND3/PRKCB/CACNB2/KCNQ5/EDN1/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/FGF13/KCNC4/KCNJ15/TPCN2/TRPC1/ATG5/IL1B/CACNA1C/CLTCL1/SHANK3/SCN7A/ATP1B2/CA2/KCNMA1/GPD1L/KCNE4/PRKD1/CORO1A/RTN2/PTK2B/KCNJ2/ANK2/F2R/FYN/RYR2/WNK2/KCNS3/PER2/PRNP/ATP2A1"
"GO:0008015","GO:0008015","blood circulation",240,0.477375486907586,1.72960594362948,5.46740063695714e-05,0.00477587570454201,0.00434834202705363,870,"tags=30%, list=11%, signal=28%","TTN/HBB/ACTC1/DES/ATP1A2/CASQ2/GJA5/ABCC8/KCNMB1/FOXC2/COMP/DMD/KCND3/FGG/FGA/CACNB2/EDN1/ACTA2/CORIN/PKP2/COL4A3/CAV1/TRHDE/FLNA/PDE5A/PRKG1/CACNA1H/SLIT2/AKAP12/ATP2B4/TPM1/FGF13/HRH2/SOD3/DOCK5/TRPC1/ATG5/CPA3/CACNA1C/GJA1/ATP1B2/FGB/ENPEP/DSP/KCNMA1/TGFB1/GPD1L/KCNE4/GSN/DLL4/FOXC1/GCLM/ITGA1/ACVRL1/KCNJ2/FERMT2/GCLC/CD34/ANK2/ATP2A3/F2R/RYR2/CELF2/TBC1D8/COL1A2/PLEC/PER2/ATP2A1/F2RL1/ELN/NPR2/SLC4A3"
"GO:0050817","GO:0050817","coagulation",122,0.544829813959911,1.81622050336109,7.04385754586511e-05,0.00560498308185757,0.00510322818338571,1287,"tags=37%, list=16%, signal=32%","SLC4A1/SAA1/HBB/F3/BLK/SERPINA1/COMP/SERPINE1/FGG/FGA/EDN1/MYL9/CAV1/FLNA/PRKG1/CSRP1/MMRN1/FN1/AXL/DGKH/F8/THBD/DGKA/FGB/ITGA2/FAP/CD34/STXBP1/F2R/ILK/F2RL1/VCL/PRKCA/TLN1/GNA12/VAV2/MYH9/CD40/THBS1/CD9/VAV1/DMTN/ENTPD1/PAPSS2/PIK3CA"
